Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	201T_LUNG	201T_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-002089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	290	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	10.1	NA	lung_NSC
ccle_broad_2019	A427_LUNG	A427_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	499	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	16.7666666667	NA	lung_NSC
ccle_broad_2019	A549_LUNG	A549_LUNG	58	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ATCC	adherent; epithelial; DT=22 hrs	ACH-000681	lung_cancer	54	NA	Caucasian	0.4940	5% DMSO	1	NA	F-12 +10%FBS	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	565	159.4917529	A549	LUAD	Lung:NSCLC_Others	2.85	Lung	12	127n	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	88	18.9666666667	lung_NSC	lung_NSC
ccle_broad_2019	ABC1_LUNG	ABC1_LUNG	47	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	HSRRB	Adherent; 0.25% TRYPSIN	ACH-000528	lung_cancer	40.12291	NA	Asian	0.8262	5% DMSO	1	NA	EMEM+10% FBS	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	445	146.9349526	ABC-1	LUAD	Lung:NSCLC_Others	2.53	Lung	4	128n	1	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	271	15.0	lung_NSC	lung_NSC
ccle_broad_2019	BEN_LUNG	BEN_LUNG	71	CCLE	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	DSMZ	Adherent, epitheloid cells growing in monolayers	ACH-000603	NA	58.8	~  40-50 hrs	Caucasian	0.6863	10%DMSO	2	NA	90% Dulbecco'sMEM(4.5g/l glucose) +10% h.i.FBS	NS	NS	NS	Carcinoma	NA	lung	NA	NA	NSCLC	487	138.0393183	BEN	NSCLC	Lung:Others	3.78	Lung	NA	NA	0.98	NA	1	Metastasis	Male	lymph_node	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	NA	16.3666666667	lung_NSC	lung_NSC
ccle_broad_2019	CAL12T_LUNG	CAL12T_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	GNF	NA	ACH-000826	NA	NA	~50 hrs	Caucasian	0.9093	NA	1	NA	NA	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	NSCLC	635	208.5600477	CAL-12T	NSCLC	Lung:NSCLC_Others	2.54	Lung	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	NA	21.2666666667	lung_NSC	lung_NSC
ccle_broad_2019	CALU1_LUNG	CALU1_LUNG	47	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	NIBRI	NA	ACH-000511	lung_cancer	NA	NA	Caucasian	0.4107	NA	1	NA	NA	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	246	120.70541	Calu-1	LUSC	Lung:NSCLC_Squamous	2.84	Lung	23	127c	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	38	8.3	lung_NSC	lung_NSC
ccle_broad_2019	CALU3_LUNG	CALU3_LUNG	25	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NIBRI	NA	ACH-000392	lung_cancer	NA	NA	Caucasian	0.5753	NA	1	NA	NA	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	233	107.5576589	Calu-3	LUAD	Lung:NSCLC_Adeno	2.99	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	7.66666666667	lung_NSC	lung_NSC
ccle_broad_2019	CALU6_LUNG	CALU6_LUNG	61	CCLE	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	ATCC	Adherent	ACH-000264	lung_cancer	78.9	NA	Caucasian	0.6459	5% DMSO	1	NA	EMEM +10%FBS	undifferentiated_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	NSCLC	233	87.77718147	Calu-6	NSCLC	Lung:NSCLC_Others	2.71	Lung	24	128n	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	120	7.93333333333	lung_NSC	lung_NSC
ccle_broad_2019	CHAGOK1_LUNG	CHAGOK1_LUNG	45	CCLE	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	ECACC	NA	ACH-000867	NA	NA	NA	Caucasian	0.4870	NA	1	NA	NA	NS	NS	NS	Carcinoma	NA	lung	NA	NA	NSCLC	669	225.7579361	ChaGo-K-1	NSCLC	Lung:Others	2.24	Lung	37	126	1	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	211	22.8	lung_NSC	lung_NSC
