Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	COLO668_LUNG	COLO668_LUNG	47	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	NA	ACH-000803	NA	NA	NA	Caucasian	0.4489	NA	1	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	572	185.27297	COLO 668	SCLC	Lung:SCLC	3.17	Lung	NA	NA	1	NA	1	Metastasis	Female	brain	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	87	19.3666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL24_LUNG	CORL24_LUNG	71	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	Aggregates in suspension	ACH-000382	NA	139.2	NA	Caucasian	0.7549	?	0	NA	RPMI+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	342	116.9513426	COR-L24	SCLC	Lung:SCLC	1.78	Lung	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	2Mm L-Glutamine	45	11.5333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL279_LUNG	CORL279_LUNG	63	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	NA	ACH-000257	NA	NA	NA	Caucasian	0.7141	NA	0	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	254	82.96418803	COR-L279	SCLC	Lung:SCLC	1.78	Lung	NA	NA	1	NA	1	Metastasis	Male	lymph_node	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	40	8.6	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL303_LUNG	CORL303_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-002095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	264	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	8.76666666667	NA	lung_small_cell
ccle_broad_2019	CORL311_LUNG	CORL311_LUNG	63	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	Large irregular aggregates, difficult to count	ACH-000187	NA	112.1	NA	Caucasian	0.6105	?	1	NA	RPMI+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	195	100.2513257	COR-L311	SCLC	Lung:SCLC	3.45	Lung	NA	NA	0.96	NA	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	2Mm L-Glutamine	64	6.86666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL47_LUNG	CORL47_LUNG	67	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	aggregates in suspension	ACH-000695	NA	77.5	NA	Caucasian	0.2109	5% DMSO	0	NA	RPI-1640+10% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	262	154.5972613	COR-L47	SCLC	Lung:SCLC	1.95	Lung	20	127n	0.99	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	2mM L-glutamine	NA	8.8	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL51_LUNG	CORL51_LUNG	71	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001047	NA	NA	NA	Caucasian	0.3195	NA	0	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	40	NA	COR-L51	SCLC	NA	1.93	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	NA	1.33333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL88_LUNG	CORL88_LUNG	55	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	NA	ACH-000508	NA	NA	NA	Caucasian	0.5474	NA	0	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	429	132.5932561	COR-L88	SCLC	Lung:SCLC	1.92	Lung	21	126	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	87	14.4666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	CORL95_LUNG	CORL95_LUNG	64	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	SUSPENSION	ACH-000743	NA	123.4	NA	Caucasian	0.4034	5%DMSO	1	NA	RPMI-1640+10% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	400	147.0863414	COR-L95	SCLC	Lung:SCLC	2.92	Lung	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	2mM L-GLUTAMINE	NA	13.4666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	CPCN_LUNG	CPCN_LUNG	NA	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Suspension	ACH-001049	NA	NA	NA	Caucasian	0.2571	10% DMSO	0	NA	McCoy's 5A +10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	304	NA	CPC-N	SCLC	NA	2.11	Lung	NA	NA	1	NA	1	Metastasis	NA	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	NA	10.3333333333	lung_small_cell	lung_small_cell
