Gene,Avg_TPM,Group
A1BG,1.1777777777777778,Without Neoantigen
A1CF,3.6399999999999992,With Neoantigen
A2M,10.008695652173913,Without Neoantigen
A2ML1,0.17857142857142858,Without Neoantigen
A4GALT,3.711111111111111,Without Neoantigen
A4GNT,0.336,With Neoantigen
AAAS,55.86486486486486,Without Neoantigen
AACS,22.135135135135137,With Neoantigen
AADAC,0.7583333333333333,With Neoantigen
AADACL2,0.25,With Neoantigen
AADACL3,,Without Neoantigen
AADACL4,0.3333333333333333,Without Neoantigen
AADAT,33.08108108108108,Without Neoantigen
AAK1,8.702702702702704,Without Neoantigen
AAMDC,16.54054054054054,Without Neoantigen
AAMP,132.75675675675674,Without Neoantigen
AANAT,1.8457142857142856,With Neoantigen
AARS2,41.91891891891892,With Neoantigen
AASDH,17.405405405405407,With Neoantigen
AASDHPPT,49.45945945945946,Without Neoantigen
AASS,16.31891891891892,Without Neoantigen
AATF,78.94594594594595,Without Neoantigen
AATK,7.852777777777778,Without Neoantigen
ABAT,24.535135135135135,Without Neoantigen
ABCA1,3.508333333333333,With Neoantigen
ABCA10,0.8903225806451611,With Neoantigen
ABCA12,1.2,Without Neoantigen
ABCA13,0.680952380952381,With Neoantigen
ABCA2,31.554054054054053,Without Neoantigen
ABCA3,75.95135135135135,Without Neoantigen
ABCA4,2.976470588235294,With Neoantigen
ABCA5,23.159459459459462,With Neoantigen
ABCA6,0.12666666666666668,With Neoantigen
ABCA7,16.772972972972973,With Neoantigen
ABCA8,0.5588235294117646,With Neoantigen
ABCA9,0.23333333333333336,With Neoantigen
ABCB1,5.813043478260869,With Neoantigen
ABCB10,36.351351351351354,Without Neoantigen
ABCB11,0.36000000000000004,Without Neoantigen
ABCB4,0.7370370370370369,With Neoantigen
ABCB5,0.3333333333333333,With Neoantigen
ABCB7,38.91891891891892,Without Neoantigen
ABCC1,52.16216216216216,With Neoantigen
ABCC10,17.16216216216216,Without Neoantigen
ABCC11,0.2212121212121212,With Neoantigen
ABCC12,0.16666666666666666,With Neoantigen
ABCC2,2.943243243243243,Without Neoantigen
ABCC3,4.144117647058823,Without Neoantigen
ABCC4,13.889189189189189,With Neoantigen
ABCC5,47.5945945945946,With Neoantigen
ABCC6,1.154054054054054,With Neoantigen
ABCC8,9.736363636363636,With Neoantigen
ABCC9,2.2,With Neoantigen
ABCD1,11.756756756756756,With Neoantigen
ABCD2,2.5714285714285716,Without Neoantigen
ABCD3,44.16216216216216,Without Neoantigen
ABCE1,77.1891891891892,Without Neoantigen
ABCF2,19.89189189189189,With Neoantigen
ABCF3,45.32432432432432,Without Neoantigen
ABCG1,14.685714285714285,Without Neoantigen
ABCG2,3.7,With Neoantigen
ABCG4,1.1,Without Neoantigen
ABCG5,0.3259259259259259,With Neoantigen
ABCG8,0.21599999999999994,With Neoantigen
ABHD10,78.05405405405405,Without Neoantigen
ABHD12,93.1891891891892,With Neoantigen
ABHD12B,0.2733333333333333,Without Neoantigen
ABHD13,28.45945945945946,Without Neoantigen
ABHD14B,23.243243243243242,Without Neoantigen
ABHD17A,19.89189189189189,With Neoantigen
ABHD3,38.648648648648646,With Neoantigen
ABHD4,20.667567567567566,With Neoantigen
ABHD5,11.405405405405405,Without Neoantigen
ABHD6,8.45945945945946,Without Neoantigen
ABI2,28.08108108108108,With Neoantigen
ABI3,0.33333333333333337,Without Neoantigen
ABI3BP,0.44054054054054054,With Neoantigen
ABL1,98.64864864864865,Without Neoantigen
ABL2,26.54054054054054,With Neoantigen
ABLIM1,46.85405405405405,With Neoantigen
ABLIM2,15.863888888888887,With Neoantigen
ABLIM3,5.711764705882352,With Neoantigen
ABR,40.0,Without Neoantigen
ABRA,0.1736842105263158,With Neoantigen
ABRACL,153.1891891891892,Without Neoantigen
ABT1,48.270270270270274,With Neoantigen
ABTB2,15.372972972972972,Without Neoantigen
ACAA1,9.432432432432432,Without Neoantigen
ACACA,69.83783783783784,With Neoantigen
ACACB,5.372972972972972,Without Neoantigen
ACAD10,15.513513513513514,Without Neoantigen
ACAD11,0.26176470588235284,Without Neoantigen
ACAD9,49.32432432432432,With Neoantigen
ACADL,1.8533333333333337,Without Neoantigen
ACADM,75.83783783783784,Without Neoantigen
ACADSB,25.216216216216218,Without Neoantigen
ACADVL,126.56756756756756,Without Neoantigen
ACAN,1.7375,With Neoantigen
ACAP2,43.62162162162162,Without Neoantigen
ACAP3,51.972972972972975,Without Neoantigen
ACAT2,93.48648648648648,With Neoantigen
ACBD6,36.729729729729726,With Neoantigen
ACCSL,0.1388888888888889,Without Neoantigen
ACE,5.061111111111112,Without Neoantigen
ACE2,0.19999999999999998,Without Neoantigen
ACER2,11.72972972972973,Without Neoantigen
ACHE,0.9694444444444446,Without Neoantigen
ACIN1,132.83783783783784,Without Neoantigen
ACKR2,0.3999999999999999,Without Neoantigen
ACKR3,29.933333333333337,With Neoantigen
ACKR4,0.3972972972972973,Without Neoantigen
ACLY,390.97297297297297,Without Neoantigen
ACMSD,0.7918918918918918,Without Neoantigen
ACO1,30.37837837837838,With Neoantigen
ACO2,91.29729729729729,With Neoantigen
ACOT1,3.1378378378378375,Without Neoantigen
ACOT12,0.8500000000000001,Without Neoantigen
ACOT8,18.54054054054054,Without Neoantigen
ACOT9,19.29189189189189,Without Neoantigen
ACOX2,0.664516129032258,Without Neoantigen
ACOX3,12.432432432432432,Without Neoantigen
ACOXL,2.6176470588235294,With Neoantigen
ACP6,5.302702702702702,Without Neoantigen
ACR,0.4166666666666666,Without Neoantigen
