Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,
OR51E1,17.02631579,0.1,0.005873261,-7.411622238,-2.231120684,
CCKBR,11.88064516,0.1,0.008417051,-6.8924692,-2.074840025,
TSPAN18,11.35294118,0.1,0.00880829,-6.826922127,-2.055108388,
ATP10D,11.33529412,0.1,0.008822003,-6.824677852,-2.054432793,
NNMT,10.69032258,0.1,0.009354255,-6.740161423,-2.02899081,
PLXNA2,27.61714286,0.3,0.010862818,-6.524457629,-1.964057492,
TRPM8,18.55294118,0.5,0.026949905,-5.213575955,-1.569442763,
CHAT,3.205555556,0.1,0.031195841,-5.002502461,-1.505903308,
RTL1,12.26,0.4,0.032626427,-4.937815125,-1.486430479,
ZIM2,2.85,0.1,0.035087719,-4.832889974,-1.45484486,
NLRP5,5.7,0.2,0.035087719,-4.832889973,-1.45484486,
MMD2,2.311538462,0.1,0.043261231,-4.53078143,-1.363901124,
S1PR1,2.24137931,0.1,0.044615385,-4.486314881,-1.350515359,
SLC5A5,2.240909091,0.1,0.044624746,-4.486012186,-1.350424239,
TMPRSS11E,1.835714286,0.1,0.054474708,-4.198269601,-1.263805088,
SLC30A8,1.764705882,0.1,0.056666667,-4.141355825,-1.246672334,
P2RX7,1.746666667,0.1,0.057251908,-4.126532382,-1.242210033,
TXK,1.696428571,0.1,0.058947368,-4.084428758,-1.229535579,
TBX3,75.92352941,5,0.065855737,-3.924547038,-1.181406384,
ANPEP,2.733333333,0.2,0.073170732,-3.772589485,-1.135662602,
KISS1R,8.082352941,0.7,0.086608442,-3.529348509,-1.062439771,
SLC12A1,1.142307692,0.1,0.087542087,-3.513879387,-1.057783102,
NRK,4.335714286,0.4,0.092257002,-3.438197769,-1.035000664,
CHD5,20.74285714,2,0.096418733,-3.374542706,-1.015838581,
PPM1J,2.048387097,0.2,0.097637795,-3.356416457,-1.010382036,
CDH7,9.17,0.9,0.098146129,-3.348924813,-1.008126826,
MDGA2,2.013636364,0.2,0.099322799,-3.331731256,-1.00295105,
SYTL2,9.78,1,0.102249489,-3.289834451,-0.990338855,
SLC6A19,0.95,0.1,0.105263158,-3.247927501,-0.977723606,
GRB14,9.26,1,0.107991361,-3.21101218,-0.966610987,
SVEP1,0.887096774,0.1,0.112727273,-3.149091487,-0.947971,
ADAMTS9,0.833333333,0.1,0.12,-3.058893679,-0.920818754,
CSPG4,2.394285714,0.3,0.125298329,-2.996560905,-0.90205472,
TMEM8B,7.954285714,1,0.125718391,-2.991732373,-0.900601187,
LRRN4,2.380645161,0.3,0.12601626,-2.988318184,-0.899573413,
NLGN1,7.894117647,1,0.126676602,-2.980778009,-0.897303595,
TGFB1I1,7.24,1,0.138121547,-2.855989687,-0.859738566,
AANAT,1.93030303,0.3,0.155416012,-2.685792934,-0.808504238,
TRPM2,4.344827586,0.7,0.161111111,-2.633872093,-0.792874507,
DDX60L,5.977142857,1,0.167304015,-2.579456016,-0.776493636,
HFE,2.306060606,0.4,0.173455979,-2.527358516,-0.760810726,
SCNN1B,4.420689655,0.8,0.180967239,-2.466199544,-0.74240004,
DEFA6,1.042857143,0.2,0.191780822,-2.382469631,-0.717194825,
PODN,1.556,0.3,0.192802056,-2.374807648,-0.714888338,
FOXA3,4.078787879,0.8,0.196136701,-2.350068568,-0.707441133,
PLEKHF1,2.037142857,0.4,0.196353436,-2.348475243,-0.706961494,
PGBD5,28.87428571,6,0.207797348,-2.266750845,-0.682359999,
PCDHGA2,0.841176471,0.2,0.237762237,-2.072408491,-0.623857121,
LINC00955,0.8,0.2,0.25,-1.999999996,-0.602059992,
MGAM,0.7,0.2,0.285714285,-1.807354919,-0.544068045,
AVIL,46.14285714,15,0.325077399,-1.621144833,-0.488013223,
LACTB,12.2,4,0.327868852,-1.608809238,-0.484299839,
PROKR2,0.6,0.2,0.333333333,-1.584962499,-0.477121255,
E2F7,49.6,17,0.342741935,-1.54480537,-0.465032755,
NOS3,1.452941176,0.5,0.344129554,-1.538976292,-0.463278028,
SELPLG,0.828571429,0.3,0.362068965,-1.46566357,-0.441208699,
KLHDC8B,13.56857143,5,0.368498631,-1.44026883,-0.433564121,
GAA,69.11428571,26,0.376188508,-1.410472315,-0.424594476,
DEF6,7.931428571,3,0.378242075,-1.402618236,-0.422230163,
RASAL2,14.69428571,6,0.408321991,-1.292220822,-0.38899723,
ABCA9,0.238461538,0.1,0.419354837,-1.253756595,-0.377418343,
NPR1,1.41875,0.6,0.422907489,-1.241585984,-0.373754624,
UGGT2,16.42857143,7,0.426086956,-1.230780204,-0.37050176,
SPEG,9.308823529,4,0.429699842,-1.218598845,-0.366834806,
FOXD4,1.817647059,0.8,0.44012945,-1.184000184,-0.356419571,
HDC,0.443478261,0.2,0.450980391,-1.148863386,-0.345842341,
NT5DC3,19.82857143,9,0.45389049,-1.139583831,-0.343048917,
LTN1,37.11428571,17,0.45804465,-1.126439854,-0.339092185,
ABCA5,23.91142857,11,0.460031067,-1.120196799,-0.337212838,
TTN,1,0.5,0.499999999,-0.999999999,-0.301029996,
CNTN5,1.576,0.8,0.507614213,-0.978195628,-0.294466226,
ASB5,0.784,0.4,0.510204081,-0.970853653,-0.292256072,
SCN4A,0.586666667,0.3,0.511363635,-0.967578522,-0.291270159,
GMIP,17.6,9,0.511363636,-0.96757852,-0.291270158,
GFPT2,1.742857143,0.9,0.516393442,-0.953457412,-0.287019281,
ARHGAP32,45.51428571,24,0.527306968,-0.923285031,-0.27793649,
HS3ST2,1.326666667,0.7,0.527638191,-0.922379101,-0.277663778,
NFASC,24.18857143,13,0.537443893,-0.895813941,-0.269666867,
MAGEC3,0.735294118,0.4,0.543999999,-0.878321443,-0.264401101,
CDC42BPG,28.98,16,0.5521049,-0.856985687,-0.257978398,
KIAA2026,24.4,14,0.573770492,-0.801454318,-0.241261791,
KLB,1.144117647,0.7,0.611825192,-0.708808581,-0.213372645,
HTT,35.91428571,22,0.61256961,-0.707054297,-0.212844553,
ECT2L,1.125714286,0.7,0.621827411,-0.685413879,-0.206330138,
CNTRL,28.82857143,18,0.624380575,-0.679502438,-0.204550617,
DNAJC13,40.45714286,26,0.642655367,-0.637882813,-0.192021861,
CCNY,59.17142857,39,0.659101883,-0.6014266,-0.181047448,
CLCN3,49.88571429,33,0.661512027,-0.596160705,-0.179462255,
