Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
NPTX1,124.5777778,0.1,0.000802711,-10.28282923,-3.09544058,-2.921625281,-2.876506504,-3.23418453,,,,,,
PCSK2,83.48823529,0.1,0.001197774,-9.705427901,-2.921625281,-2.876506504,-2.762186047,-2.840935939,,,,,,
RASSF6,75.49714286,0.1,0.001324553,-9.560277148,-2.877930516,-2.852751004,-2.649290595,-2.762186047,,,,,,
PEG3,71.24444444,0.1,0.001403618,-9.476632681,-2.852751004,-2.723200813,-2.610355929,-2.649290595,,,,,,
ELAVL2,54.44571429,0.1,0.001836692,-9.088673895,-2.7359637,-2.649290595,-2.589856555,-2.610355929,,,,,,
CELF3,54.125,0.1,0.001847575,-9.080150529,-2.733397909,-2.644219691,-2.546502862,-2.589856555,,,,,,
ACTC1,44.07777778,0.1,0.002268717,-8.783907045,-2.644219691,-2.610355929,-2.457577044,-2.457577044,,,,,,
NEFM,41.40416667,0.1,0.002415216,-8.693631552,-2.617044048,-2.589856555,-2.452127326,-2.447885554,,,,,,
BCAT1,40.77142857,0.1,0.002452698,-8.671414109,-2.610355929,-2.546502862,-2.447885554,-2.383193712,,,,,,
NEUROD4,35.18846154,0.1,0.002841841,-8.458958122,-2.54640028,-2.54640028,-2.430612482,-2.327723734,,,,,,
KIF26A,32.65142857,0.1,0.003062653,-8.351001833,-2.513902187,-2.485484818,-2.426987471,-2.255037869,,,,,,
UTRN,31.45428571,0.1,0.003179217,-8.297112337,-2.497679827,-2.465506776,-2.383193712,-2.239299479,,,,,,
IRX2,45.48965517,0.15,0.003297453,-8.24443175,-2.481821386,-2.452127326,-2.378284315,-2.231120684,,,,,,
ST8SIA3,29.02,0.1,0.003445899,-8.180903291,-2.462697408,-2.447885554,-2.306841846,-2.180665497,,,,,,
MYADM,28.32222222,0.1,0.003530796,-8.145790248,-2.452127326,-2.430612482,-2.290714597,-2.173456067,,,,,,
ASCL1,841.4083333,3,0.003565451,-8.131699391,-2.447885554,-2.426987471,-2.255037869,-2.158499558,,,,,,
NELL1,55.28529412,0.2,0.003617599,-8.110751566,-2.441579629,-2.383193712,-2.252926547,-2.138209791,,,,,,
ZFP42,25.48,0.1,0.003924647,-7.9932211,-2.406199424,-2.378284315,-2.239299479,-2.130780344,,,,,,
NEFH,50.04444444,0.2,0.003996448,-7.96706575,-2.398325877,-2.362723264,-2.231120684,-2.127104798,,,,,,
GNG2,49.49411765,0.2,0.004040884,-7.951112905,-2.393523591,-2.342192312,-2.209614293,-2.088962529,,,,,,
SLC17A6,24.23636364,0.1,0.004126032,-7.921029097,-2.38446746,-2.306841846,-2.180665497,-2.060907594,,,,,,
DACT1,24.20833333,0.1,0.004130809,-7.919359598,-2.383964891,-2.290714597,-2.173456067,-2.043642921,,,,,,
EPHA3,24.16538462,0.1,0.004138151,-7.916797798,-2.383193712,-2.276620248,-2.171772147,-2.043362278,,,,,,
TFF3,163.7457143,0.8,0.004885624,-7.677241137,-2.311079955,-2.255037869,-2.166824658,-2.043116567,,,,,,
SMARCA2,20.26944444,0.1,0.004933534,-7.663162445,-2.306841846,-2.252926547,-2.165919963,-1.992165091,,,,,,
HTRA1,39.06111111,0.2,0.005120182,-7.609588896,-2.290714597,-2.239299479,-2.15896526,-1.968934633,,,,,,
KCNQ2,18.90689655,0.1,0.005289075,-7.56276849,-2.276620248,-2.231120684,-2.138209791,-1.957181456,,,,,,
EFNB3,37.01142857,0.2,0.005403736,-7.531826745,-2.267305853,-2.222895784,-2.130780344,-1.950792506,,,,,,
AKR1C2,35.98055556,0.2,0.005558558,-7.491073393,-2.255037869,-2.221631548,-2.121669252,-1.929418926,,,,,,
OR51E1,17.02631579,0.1,0.005873261,-7.411622238,-2.231120684,-2.209614293,-2.110193456,-1.916199156,,,,,,
TCERG1L,16.70689655,0.1,0.005985552,-7.384299714,-2.222895784,-2.195326956,-2.101708896,-1.899518621,,,,,,
ADAMTS14,16.65833333,0.1,0.006003002,-7.380100016,-2.221631548,-2.180665497,-2.088962529,-1.889197916,,,,,,
ATP8A2,15.759375,0.1,0.006345429,-7.300066283,-2.19753899,-2.173456067,-2.060907594,-1.881466176,,,,,,
MAGEB2,31.35862069,0.2,0.006377832,-7.292718067,-2.195326956,-2.171772147,-2.043642921,-1.879740818,,,,,,
CTCFL,15.33461538,0.1,0.006521194,-7.260647951,-2.185672888,-2.166824658,-2.043362278,-1.878400839,,,,,,
IMPG2,30.65483871,0.2,0.006524255,-7.259970783,-2.18546904,-2.165919963,-2.043116567,-1.863130907,,,,,,
SSX3,15.15882353,0.1,0.006596818,-7.244013762,-2.180665497,-2.15896526,-1.99524795,-1.861915902,,,,,,
KRT14,45.21034483,0.3,0.006635649,-7.235546393,-2.178116565,-2.130780344,-1.992165091,-1.856469945,,,,,,
HES6,447.2777778,3,0.006707241,-7.220064556,-2.173456067,-2.121669252,-1.968934633,-1.854306042,,,,,,
NAT8L,29.36666667,0.2,0.006810443,-7.198035496,-2.166824658,-2.110193456,-1.950792506,-1.847709725,,,,,,
EBF3,36.35666667,0.25,0.006876318,-7.184147818,-2.16264405,-2.103119254,-1.929719372,-1.834014268,,,,,,
MAGEA11,14.492,0.1,0.006900359,-7.179112692,-2.161128325,-2.101708896,-1.919236623,-1.814592841,,,,,,
VIP,14.42,0.1,0.006934813,-7.171927146,-2.15896526,-2.093833534,-1.917680522,-1.810040395,,,,,,
SAGE1,14.38,0.1,0.006954103,-7.167919658,-2.157758886,-2.088962529,-1.916199156,-1.805362389,,,,,,
TAP1,13.51388889,0.1,0.007399794,-7.078298893,-2.130780344,-2.069820393,-1.890048234,-1.804660482,,,,,,
KCNK16,26.46666667,0.2,0.007556675,-7.048032506,-2.121669252,-2.068082741,-1.889197916,-1.784898131,,,,,,
XK,12.88823529,0.1,0.007759014,-7.009910742,-2.110193456,-2.063638234,-1.881466176,-1.774858975,,,,,,
CDH12,19.02,0.15,0.007886435,-6.986410752,-2.103119254,-2.062721226,-1.879740818,-1.75520413,,,,,,
CALB1,12.50882353,0.1,0.007994357,-6.966802118,-2.097216466,-2.060907594,-1.878400839,-1.752549461,,,,,,
CCKBR,12.27333333,0.1,0.008147746,-6.939383139,-2.088962529,-2.043642921,-1.864148358,-1.738841516,,,,,,
VIM,97.47777778,0.8,0.008206999,-6.928929376,-2.085815633,-2.043116567,-1.863130907,-1.733516526,,,,,,
