Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
PCSK1,171.4685714,0.1,0.000583197,-10.74372598,-3.23418453
SEZ6L,69.33235294,0.1,0.001442328,-9.437383912,-2.840935939
MAGEA1,57.834375,0.1,0.001729075,-9.175782597,-2.762186047
CGA,44.59545455,0.1,0.002242381,-8.800752215,-2.649290595
BCAT1,40.77142857,0.1,0.002452698,-8.671414109,-2.610355929
FAM83H,38.89166667,0.1,0.002571245,-8.60331669,-2.589856555
COL1A2,114.7194444,0.4,0.003486767,-8.163893813,-2.457577044
ASCL1,841.4083333,3,0.003565451,-8.131699391,-2.447885554
EPHA3,24.16538462,0.1,0.004138151,-7.916797798,-2.383193712
RET,21.26785714,0.1,0.004701931,-7.732530564,-2.327723734
AKR1C2,35.98055556,0.2,0.005558558,-7.491073393,-2.255037869
COL14A1,17.35,0.1,0.005763689,-7.438791602,-2.239299479
OR51E1,17.02631579,0.1,0.005873261,-7.411622238,-2.231120684
SSX3,15.15882353,0.1,0.006596818,-7.244013762,-2.180665497
HES6,447.2777778,3,0.006707241,-7.220064556,-2.173456067
IMPG2,28.80909091,0.2,0.006942253,-7.170380118,-2.158499558
TOX2,13.74705882,0.1,0.007274283,-7.102978979,-2.138209791
TAP1,13.51388889,0.1,0.007399794,-7.078298893,-2.130780344
FZD9,13.4,0.1,0.007462687,-7.066088997,-2.127104798
CCKBR,12.27333333,0.1,0.008147746,-6.939383139,-2.088962529
MDFIC,11.50555556,0.1,0.008691453,-6.846186671,-2.060907594
TSPAN18,11.05714286,0.1,0.009043928,-6.788834675,-2.043642921
PTPRT,11.05,0.1,0.009049774,-6.7879024,-2.043362278
NNMT,11.04375,0.1,0.009054895,-6.787086165,-2.043116567
LATS2,9.821212121,0.1,0.010182043,-6.617829044,-1.992165091
WDR72,9.309677419,0.1,0.010741511,-6.54065914,-1.968934633
PLXNA2,27.18333333,0.3,0.011036174,-6.501615935,-1.957181456
GRHL2,17.85757576,0.2,0.011199728,-6.480392303,-1.950792506
DCAF4L2,8.5,0.1,0.011764706,-6.409390814,-1.929418926
DGKI,8.24516129,0.1,0.012128326,-6.365475692,-1.916199156
NCAM2,15.86896552,0.2,0.012603216,-6.310064159,-1.899518621
EHD2,23.24444444,0.3,0.01290631,-6.275779522,-1.889197916
FAM83E,7.611428571,0.1,0.013138138,-6.250095241,-1.881466176
PCDH7,7.58125,0.1,0.013190437,-6.244363726,-1.879740818
PASD1,7.557894737,0.1,0.013231198,-6.239912412,-1.878400839
CNTN4,7.296774194,0.1,0.013704686,-6.189186799,-1.863130907
FAM114A1,14.55277778,0.2,0.013743081,-6.18515064,-1.861915902
INHBA,7.185714286,0.1,0.013916501,-6.167059564,-1.856469945
PPP2R2B,7.15,0.1,0.013986014,-6.159871234,-1.854306042
SRGN,35.21111111,0.5,0.014200063,-6.137958746,-1.847709725
FBN1,13.64722222,0.2,0.014654997,-6.092463424,-1.834014268
MSN,195.7555556,3,0.015325236,-6.027946847,-1.814592841
KIAA1217,6.457142857,0.1,0.015486726,-6.012823947,-1.810040395
BIN1,19.16388889,0.3,0.015654443,-5.997283951,-1.805362389
ST6GAL1,31.88823529,0.5,0.015679764,-5.994952263,-1.804660482
DCDC1,6.093939394,0.1,0.016409746,-5.929303159,-1.784898131
CA9,11.909375,0.2,0.016793493,-5.895953807,-1.774858975
AXL,34.14722222,0.6,0.017570975,-5.830661831,-1.75520413
PREX2,5.656521739,0.1,0.017678709,-5.821843209,-1.752549461
IL20RA,5.480769231,0.1,0.018245614,-5.776306407,-1.738841516
CHI3L1,16.24193548,0.3,0.018470705,-5.758617174,-1.733516526
TSHR,5.281818182,0.1,0.018932874,-5.722962659,-1.722783447
ZNF727,5.176,0.1,0.019319938,-5.693765638,-1.713994268
RTL1,12.9,0.25,0.019379845,-5.689299086,-1.712649702
GRIA1,10.136,0.2,0.01973165,-5.663344546,-1.704836606
CTSL,45.10833333,0.9,0.019951967,-5.647325098,-1.700014272
CNGB1,4.880769231,0.1,0.020488574,-5.609036566,-1.688488274
CLIC6,9.696,0.2,0.020627063,-5.599317724,-1.685562611
MAOB,9.584615385,0.2,0.020866774,-5.582648566,-1.680544694
BTBD17,46.95,1,0.021299255,-5.553053185,-1.671635597
LRRC43,4.681818182,0.1,0.021359223,-5.548996936,-1.670414544
S100A4,44.52222222,1,0.022460694,-5.476453634,-1.648576833
