Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,
BCAT1,40.77142857,0.1,0.002452698,-8.671414109,-2.610355929,,
OR51E1,17.02631579,0.1,0.005873261,-7.411622238,-2.231120684,,
SSX3,15.15882353,0.1,0.006596818,-7.244013762,-2.180665497,,
TAP1,13.51388889,0.1,0.007399794,-7.078298893,-2.130780344,,
CCKBR,11.88064516,0.1,0.008417051,-6.8924692,-2.074840025,,
ATP10D,11.06857143,0.1,0.00903459,-6.790325062,-2.044091572,,
TSPAN18,11.05714286,0.1,0.009043928,-6.788834675,-2.043642921,,
NNMT,11.04375,0.1,0.009054895,-6.787086165,-2.043116567,,
ESRP1,95.24166667,1,0.010499606,-6.573520825,-1.978826987,,
WDR72,9.309677419,0.1,0.010741511,-6.54065914,-1.968934633,,
PLXNA2,27.18333333,0.3,0.011036174,-6.501615935,-1.957181456,,
DCAF4L2,8.5,0.1,0.011764706,-6.409390814,-1.929418926,,
NCAM2,15.86896552,0.2,0.012603216,-6.310064159,-1.899518621,,
EHD2,23.24444444,0.3,0.01290631,-6.275779522,-1.889197916,,
PCDH7,7.58125,0.1,0.013190437,-6.244363726,-1.879740818,,
PASD1,7.557894737,0.1,0.013231198,-6.239912412,-1.878400839,,
INHBA,7.185714286,0.1,0.013916501,-6.167059564,-1.856469945,,
PPP2R2B,7.15,0.1,0.013986014,-6.159871234,-1.854306042,,
DST,29.72777778,0.5,0.016819286,-5.893739632,-1.774192442,,
PREX2,5.656521739,0.1,0.017678709,-5.821843209,-1.752549461,,
RYR2,5.116666667,0.1,0.019543974,-5.677132271,-1.708987125,,
GRIA1,10.136,0.2,0.01973165,-5.663344546,-1.704836606,,
CNGB1,4.880769231,0.1,0.020488574,-5.609036566,-1.688488274,,
SLC8A3,4.330769231,0.1,0.023090586,-5.436551332,-1.636565043,,
TSHZ3,4.015789474,0.1,0.024901704,-5.327611676,-1.603770937,,
USH1C,7.646428571,0.2,0.026156002,-5.256714103,-1.58242864,,
NEDD9,3.697058824,0.1,0.027048528,-5.20830604,-1.567856361,,
TRPM8,18.03142857,0.5,0.027729361,-5.172441744,-1.557060132,,
PDE1C,6.439393939,0.2,0.031058824,-5.00885296,-1.507814999,,
ARSI,3.183333333,0.1,0.031413613,-4.992466282,-1.502882117,,
PLIN3,25.41666667,0.8,0.03147541,-4.989630981,-1.502028606,,
CHAT,3.142105263,0.1,0.031825796,-4.973659563,-1.49722073,,
PLIN5,3.132352941,0.1,0.031924883,-4.969174829,-1.495870691,,
RTL1,12.26,0.4,0.032626427,-4.937815125,-1.486430479,,
GDF15,29.49722222,1,0.033901497,-4.882507153,-1.46978112,,
ZIM2,2.85,0.1,0.035087719,-4.832889974,-1.45484486,,
NLRP5,5.7,0.2,0.035087719,-4.832889973,-1.45484486,,
MMD2,2.311538462,0.1,0.043261231,-4.53078143,-1.363901124,,
SLC5A5,2.147826087,0.1,0.046558704,-4.424805245,-1.331999113,,
TMPRSS11E,1.835714286,0.1,0.054474708,-4.198269601,-1.263805088,,
P2RX7,1.787096774,0.1,0.055956679,-4.159545831,-1.252148071,,
SLC30A8,1.764705882,0.1,0.056666667,-4.141355825,-1.246672334,,
TXK,1.64137931,0.1,0.06092437,-4.036836745,-1.215208955,,
SLC35F4,6.214285714,0.4,0.064367816,-3.957516646,-1.191331226,,
TBX3,74.38285714,5,0.06721979,-3.894970143,-1.172502852,,
DUSP13,1.478947368,0.1,0.067615658,-3.886498786,-1.169952719,,
GPR4,1.46,0.1,0.068493151,-3.867896444,-1.164352856,,
CSPG4,2.677142857,0.2,0.07470651,-3.742622202,-1.126641551,,
TMEM63C,26.71714286,2,0.074858304,-3.739693809,-1.125760017,,
ANPEP,2.655882353,0.2,0.07530454,-3.731119318,-1.123178838,,
NOTCH1,13.27647059,1,0.075321223,-3.730799748,-1.123082638,,
GPC5,1.234375,0.1,0.081012658,-3.625708826,-1.091447118,,
KISS1R,7.854285714,0.7,0.089123318,-3.488053237,-1.050008656,,
MICALL2,8.961111111,0.8,0.089274644,-3.485605706,-1.049271875,,
SLC12A1,1.107407407,0.1,0.090301003,-3.469114157,-1.044307425,,
ZFPM2,8.8,0.8,0.090909091,-3.459431603,-1.041392685,,
NRK,4.335714286,0.4,0.092257002,-3.438197769,-1.035000664,,
PPM1J,2.078125,0.2,0.096240601,-3.377210516,-1.016641672,,
CHD5,20.55555556,2,0.097297297,-3.361456444,-1.011899223,,
MDGA2,2.013636364,0.2,0.099322799,-3.331731256,-1.00295105,,
CDH7,8.877419355,0.9,0.101380814,-3.302143429,-0.994044226,,
TRPM6,1.97037037,0.2,0.101503759,-3.30039492,-0.993517873,,
SLC5A1,1.943333333,0.2,0.102915952,-3.280461464,-0.987517305,,
SYTL2,9.563888889,1,0.104559977,-3.257597356,-0.980634522,,
SLC6A19,0.95,0.1,0.105263158,-3.247927501,-0.977723606,,
GRB14,9.197222222,1,0.108728481,-3.201198186,-0.96365668,,
SLC9A2,0.891176471,0.1,0.112211221,-3.155711131,-0.949963712,,
OR51B4,2.644444444,0.3,0.113445378,-3.139930249,-0.945213193,,
DOCK6,6.055555556,0.7,0.11559633,-3.112832484,-0.937055953,,
FSIP2,1.726470588,0.2,0.115843271,-3.10975384,-0.936129189,,
ADAMTS9,0.8,0.1,0.125,-2.99999999,-0.903089988,,
LRRN4,2.3375,0.3,0.128342246,-2.961931949,-0.891630365,,
TMEM8B,7.788888889,1,0.128388017,-2.961417527,-0.891475509,,
NLGN1,7.782857143,1,0.128487518,-2.960299865,-0.891139059,,
HK3,0.765517241,0.1,0.13063063,-2.936434862,-0.883954977,,
ADAM8,1.477777778,0.2,0.135338346,-2.885357424,-0.868579136,,
DYNC1I1,36.73888889,5,0.136095569,-2.877307984,-0.866156013,,
TGFB1I1,7.205555556,1,0.138781804,-2.849109658,-0.857667471,,
MUC4,2.117647059,0.3,0.141666667,-2.819427745,-0.848732325,,
CRYZ,33.11111111,5,0.151006711,-2.727315415,-0.82100375,,
AANAT,1.891176471,0.3,0.158631415,-2.656249577,-0.799610801,,
TRPM2,4.233333333,0.7,0.165354331,-2.596367256,-0.781584426,,
MGAT4C,2.356521739,0.4,0.169741697,-2.558587077,-0.770211459,,
DDX60L,5.833333333,1,0.171428571,-2.544320508,-0.765916794,,
PLEKHF1,2.313888889,0.4,0.172869148,-2.532247676,-0.762282509,,
ALDH1L1,0.568,0.1,0.176056338,-2.505890924,-0.754348336,,
PILRA,3.388888889,0.6,0.17704918,-2.497777923,-0.75190608,,
HFE,2.25,0.4,0.177777778,-2.491853089,-0.750122527,,
SCNN1B,4.28,0.8,0.186915888,-2.419538884,-0.728353782,,
DEFA6,1.042857143,0.2,0.191780822,-2.382469631,-0.717194825,,
PXDN,31.26285714,6,0.191921038,-2.38141522,-0.716877416,,
PODN,1.556,0.3,0.192802056,-2.374807648,-0.714888338,,
IRS1,9.986111111,2,0.200278164,-2.319922952,-0.698366398,,
PGBD5,29.76666667,6,0.201567749,-2.310663262,-0.695578954,,
FOXA3,3.964705882,0.8,0.201780415,-2.309141933,-0.695120988,,
MYO18B,0.467857143,0.1,0.213740458,-2.226068076,-0.670113265,,
CACNB2,4.613888889,1,0.216736905,-2.205983255,-0.664067132,,
CPS1,1.814285714,0.4,0.220472441,-2.181329759,-0.65664569,,
TGFBR3L,2.705555556,0.6,0.221765914,-2.172890454,-0.654105206,,
TGM3,3.1375,0.7,0.22310757,-2.164188626,-0.651485695,,
GDPD3,4.236111111,1,0.236065574,-2.082740425,-0.626967343,,
PCDHGA2,0.841176471,0.2,0.237762237,-2.072408491,-0.623857121,,
SPIB,2.074074074,0.5,0.241071428,-2.052467415,-0.617854259,,
SLC5A4,0.817647059,0.2,0.244604316,-2.031478227,-0.611535884,,
ZNF804B,0.40625,0.1,0.246153846,-2.022367811,-0.608793375,,
DAPK1,19.07096774,5,0.26217862,-1.931378049,-0.581402727,,
LINC00955,0.758823529,0.2,0.263565891,-1.923764411,-0.579110794,,
TMEM169,15.16666667,4,0.263736264,-1.922832134,-0.578830151,,
IL13RA2,1.084615385,0.3,0.276595744,-1.85414913,-0.558154506,,
FSCN2,3.536111111,1,0.282796544,-1.822163603,-0.548525903,,
HS3ST2,1.414285714,0.4,0.282828283,-1.822001694,-0.548477164,,
CALCR,0.696428571,0.2,0.287179487,-1.799975389,-0.541846585,,
PRSS53,3.455555556,1,0.289389067,-1.788917669,-0.53851788,,
NBPF14,0.342857143,0.1,0.291666666,-1.777607578,-0.535113203,,
MGAM,0.68125,0.2,0.293577981,-1.768184322,-0.53227652,,
FREM1,2.68125,0.8,0.298368298,-1.744833833,-0.525247323,,
FAM135B,3.320833333,1,0.301129235,-1.731545314,-0.52124708,,
HERC3,13.27777778,4,0.30125523,-1.730941802,-0.521065405,,
C9orf43,1.975,0.6,0.303797468,-1.718818243,-0.51741585,,
KLK10,0.984210526,0.3,0.304812834,-1.714004442,-0.515966751,,
DNAH6,0.957692308,0.3,0.313253012,-1.67459971,-0.504104745,,
TDRD7,18.66666667,6,0.321428571,-1.637429916,-0.492915522,,
KLHDC8B,15.24722222,5,0.327928584,-1.608546428,-0.484220726,,
LACTB,12.11111111,4,0.330275229,-1.598259319,-0.481123997,,
VANGL2,60.25714286,20,0.331910858,-1.591132264,-0.47897854,,
AVIL,45.02777778,15,0.333127699,-1.585852774,-0.477389255,,
CYP27B1,5.861111111,2,0.341232227,-1.551174183,-0.466949959,,
SVEP1,1.438709677,0.5,0.347533632,-1.524775491,-0.459003161,,
NYAP2,5.717241379,2,0.349819059,-1.515319198,-0.456156533,,
PROKR2,0.570588235,0.2,0.350515463,-1.512449999,-0.455292818,,
NOS3,1.414285714,0.5,0.353535353,-1.5000736,-0.451567151,,
