Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio
BCAT1,40.77142857142857,0.1,0.002452697967704384,-8.671414109246285
OR51E1,17.026315789473685,0.1,0.00587326120521919,-7.411622237883225
SSX3,15.158823529411764,0.1,0.0065968180049974946,-7.244013762008874
TAP1,13.51388888888889,0.1,0.007399794449606593,-7.078298893368726
CCKBR,11.880645161290323,0.1,0.008417051316152786,-6.892469200232827
ATP10D,11.068571428571428,0.1,0.009034589570686086,-6.790325062102906
TSPAN18,11.057142857142857,0.1,0.009043927647760885,-6.78883467469644
NNMT,11.04375,0.1,0.009054895301953152,-6.787086165354626
ESRP1,95.24166666666666,1.0,0.01049960626465483,-6.573520824543465
WDR72,9.30967741935484,0.1,0.01074151074035694,-6.540659139949042
PLXNA2,27.183333333333334,0.3,0.011036174125896891,-6.50161593459845
DCAF4L2,8.499999999999998,0.1,0.01176470588096886,-6.409390813678357
NCAM2,15.86896551724138,0.2,0.012603215992252297,-6.310064158717045
EHD2,23.244444444444447,0.3,0.01290630975087879,-6.275779522363394
PCDH7,7.581250000000001,0.1,0.013190436931483536,-6.244363725936495
PASD1,7.5578947368421066,0.1,0.013231197769837097,-6.239912411532983
INHBA,7.185714285714286,0.1,0.013916500992099096,-6.1670595642807555
PPP2R2B,7.1499999999999995,0.1,0.013986013984057901,-6.159871233827473
DST,29.727777777777778,0.5,0.01681928611417913,-5.893739631543985
PREX2,5.656521739130435,0.1,0.017678708682501074,-5.821843209309476
RYR2,5.116666666666666,0.1,0.01954397393754841,-5.677132271113089
GRIA1,10.136,0.2,0.01973164956395702,-5.6633445463926355
CNGB1,4.880769230769231,0.1,0.020488573675865224,-5.609036565580988
SLC8A3,4.3307692307692305,0.1,0.023090586140316564,-5.436551331792472
TSHZ3,4.015789473684211,0.1,0.02490170379458542,-5.327611675814606
USH1C,7.646428571428571,0.2,0.026156001864865167,-5.2567141033592595
NEDD9,3.6970588235294115,0.1,0.02704852823452944,-5.208306040223112
TRPM8,18.031428571428574,0.5,0.027729361430881744,-5.172441744272902
PDE1C,6.4393939393939394,0.2,0.031058823524588514,-5.008852960327607
ARSI,3.183333333333333,0.1,0.03141361255557688,-4.992466281842003
PLIN3,25.416666666666668,0.8,0.031475409834827196,-4.989630980837593
CHAT,3.1421052631578945,0.1,0.031825795634762316,-4.973659562949372
PLIN5,3.13235294117647,0.1,0.031924882618916,-4.96917482913314
RTL1,12.260000000000002,0.4,0.03262642740353781,-4.937815124702492
GDF15,29.497222222222224,1.0,0.03390149731498215,-4.882507153468377
ZIM2,2.85,0.1,0.035087719285934134,-4.832889973554142
NLRP5,5.7,0.2,0.035087719292089876,-4.832889973301038
MMD2,2.3115384615384613,0.1,0.043261231262482665,-4.530781429845771
SLC5A5,2.1478260869565218,0.1,0.046558704431764165,-4.424805245212784
TMPRSS11E,1.8357142857142859,0.1,0.05447470814153128,-4.198269601438419
P2RX7,1.7870967741935486,0.1,0.055956678669049506,-4.159545830687241
SLC30A8,1.7647058823529413,0.1,0.05666666663455555,-4.141355824603744
TXK,1.6413793103448275,0.1,0.06092436971078137,-4.036836745379227
SLC35F4,6.2142857142857135,0.4,0.06436781608159599,-3.9575166464973464
TBX3,74.38285714285715,5.0,0.06721978950512687,-3.8949701433752475
DUSP13,1.4789473684210528,0.1,0.06761565831727054,-3.8864987864161282
GPR4,1.46,0.1,0.06849315063801839,-3.867896443917455
CSPG4,2.677142857142857,0.2,0.07470651011083536,-3.7426222019416104
TMEM63C,26.717142857142857,2.0,0.07485830392191205,-3.73969380929585
ANPEP,2.6558823529411764,0.2,0.07530454039246563,-3.7311193176155846
NOTCH1,13.276470588235295,1.0,0.07532122285653317,-3.730799748008902
GPC5,1.234375,0.1,0.08101265816221759,-3.625708826424964
KISS1R,7.854285714285715,0.7,0.08912331755867836,-3.4880532365064383
MICALL2,8.961111111111112,0.8,0.08927464351142626,-3.4856057057141374
SLC12A1,1.1074074074074074,0.1,0.0903010032629389,-3.469114157360893
ZFPM2,8.8,0.8,0.09090909089876033,-3.4594316029315944
NRK,4.335714285714285,0.4,0.09225700162616808,-3.438197768893041
PPM1J,2.078125,0.2,0.09624060145744813,-3.377210516092278
CHD5,20.555555555555557,2.0,0.09729729729256391,-3.3614564443164863
MDGA2,2.0136363636363637,0.2,0.09932279904774037,-3.331731256108868
CDH7,8.87741935483871,0.9,0.1013808139420683,-3.302143428804969
TRPM6,1.9703703703703705,0.2,0.10150375934698116,-3.300394919856698
SLC5A1,1.9433333333333336,0.2,0.10291595191959726,-3.280461464316173
SYTL2,9.56388888888889,1.0,0.1045599767535168,-3.2575973555933144
SLC6A19,0.9500000000000001,0.1,0.10526315778393353,-3.247927501256609
GRB14,9.197222222222223,1.0,0.10872848080968218,-3.2011981859553997
SLC9A2,0.8911764705882355,0.1,0.11221122099619862,-3.1557111309845185
OR51B4,2.6444444444444444,0.3,0.11344537810836099,-3.1399302489729424
DOCK6,6.055555555555555,0.7,0.11559633025614005,-3.1128324839221584
FSIP2,1.7264705882352938,0.2,0.11584327080172624,-3.1097538402414924
ADAMTS9,0.7999999999999999,0.1,0.12499999984375003,-2.999999990261808
LRRN4,2.3375,0.3,0.12834224593439902,-2.9619319485426776
TMEM8B,7.788888888888888,1.0,0.12838801710191883,-2.9614175266291816
NLGN1,7.782857142857142,1.0,0.12848751833885075,-2.960299865136821
HK3,0.7655172413793103,0.1,0.13063063045998702,-2.9364348620630563
ADAM8,1.4777777777777776,0.2,0.13533834577307932,-2.885357424375224
DYNC1I1,36.73888888888889,5.0,0.13609556932942732,-2.8773079844581604
TGFB1I1,7.205555555555555,1.0,0.13878180414419375,-2.8491096577268253
MUC4,2.117647058823529,0.3,0.14166666659976854,-2.819427744855722
CRYZ,33.111111111111114,5.0,0.15100671140483538,-2.727315414622211
AANAT,1.8911764705882357,0.3,0.15863141515717774,-2.6562495770246715
TRPM2,4.2333333333333325,0.7,0.16535433066960137,-2.5963672556093296
MGAT4C,2.356521739130435,0.4,0.16974169734494354,-2.558587077409717
DDX60L,5.833333333333333,1.0,0.1714285713991837,-2.5443205080554083
PLEKHF1,2.313888888888889,0.4,0.17286914758435426,-2.532247676201139
ALDH1L1,0.568,0.1,0.17605633771821072,-2.505890924075405
PILRA,3.388888888888889,0.6,0.17704918027562483,-2.4977779225639383
HFE,2.2499999999999996,0.4,0.17777777769876546,-2.491853088855713
SCNN1B,4.279999999999999,0.8,0.18691588780679538,-2.4195388841324443
DEFA6,1.042857142857143,0.2,0.19178082173390879,-2.3824696306831954
PXDN,31.262857142857136,6.0,0.1919210381952868,-2.3814152203581136
PODN,1.5560000000000003,0.3,0.19280205643136109,-2.3748076479347153
IRS1,9.98611111111111,2.0,0.20027816409677326,-2.319922951937999
PGBD5,29.766666666666666,6.0,0.20156774915336279,-2.310663261682645
FOXA3,3.9647058823529413,0.8,0.20178041537937288,-2.3091419331455767
MYO18B,0.46785714285714286,0.1,0.21374045755841733,-2.2260680758137172
CACNB2,4.613888888888889,1.0,0.21673690543165244,-2.205983255288952
CPS1,1.8142857142857143,0.4,0.22047244082336165,-2.1813297589660956
TGFBR3L,2.7055555555555557,0.6,0.2217659136757333,-2.1728904539466223
TGM3,3.1374999999999993,0.7,0.22310756965000558,-2.1641886258866254
GDPD3,4.236111111111111,1.0,0.23606557371476486,-2.0827404252370902
PCDHGA2,0.8411764705882353,0.2,0.23776223747958336,-2.072408491175336
SPIB,2.0740740740740744,0.5,0.24107142845519766,-2.052467414605208
SLC5A4,0.8176470588235294,0.2,0.24460431624760626,-2.031478227339538
ZNF804B,0.4062499999999999,0.1,0.24615384554792907,-2.022367810718755
DAPK1,19.070967741935487,5.0,0.26217861974268003,-1.9313780485574819
LINC00955,0.7588235294117647,0.2,0.26356589112553336,-1.9237644106003857
TMEM169,15.166666666666666,4.0,0.26373626371887454,-1.922832134102444
IL13RA2,1.0846153846153845,0.3,0.2765957444258337,-1.8541491296507921
FSCN2,3.5361111111111114,1.0,0.28279654351782657,-1.8221636028781423
HS3ST2,1.4142857142857144,0.39999999999999997,0.2828282826283032,-1.8220016939411356
CALCR,0.6964285714285715,0.2,0.2871794867671269,-1.7999753887398984
PRSS53,3.4555555555555553,1.0,0.28938906744036974,-1.788917669233115
NBPF14,0.34285714285714286,0.1,0.2916666658159722,-1.7776075779250295
MGAM,0.6812499999999999,0.2,0.29357798122043605,-1.7681843219804634
FREM1,2.6812500000000004,0.8,0.29836829825701877,-1.7448338332023312
FAM135B,3.3208333333333333,1.0,0.30112923453918317,-1.731545314025441
HERC3,13.277777777777779,4.0,0.30125523010283434,-1.7309418018581448
C9orf43,1.9750000000000003,0.6,0.3037974682006088,-1.7188182434375543
KLK10,0.9842105263157894,0.3,0.30481283391489605,-1.7140044424556826
DNAH6,0.9576923076923076,0.3,0.3132530117211013,-1.6745997101067343
TDRD7,18.666666666666668,6.0,0.321428571411352,-1.6374299162041945
KLHDC8B,15.247222222222222,5.0,0.3279285844201031,-1.6085464284527222
LACTB,12.11111111111111,4.0,0.3302752293305277,-1.5982593190855756
VANGL2,60.25714285714286,20.0,0.33191085822113947,-1.5911322636386707
AVIL,45.02777777777778,15.0,0.3331276989438664,-1.5858527741679938
CYP27B1,5.861111111111111,2.0,0.341232227429932,-1.5511741832831216
SVEP1,1.438709677419355,0.5,0.3475336320454362,-1.5247754914975988
NYAP2,5.717241379310345,2.0,0.34981905904617155,-1.5153191976090392
PROKR2,0.5705882352941177,0.2,0.3505154633032203,-1.5124499993492988
NOS3,1.4142857142857144,0.5,0.353535353285379,-1.5000736000739647
GCKR,0.2782608695652174,0.1,0.3593749987084961,-1.4764380451132166
SELPLG,0.8333333333333334,0.3,0.359999999568,-1.4739311860561601
F13A1,0.2733333333333334,0.1,0.3658536571980963,-1.4506614103443514
SALL4,8.11470588235294,3.0,0.36969916631906574,-1.4355763007698539
E2F7,50.714285714285715,19.0,0.37464788731655624,-1.4163927750684997
RBM38,125.41666666666667,47.0,0.374750830561796,-1.4159964154100293
GAA,69.11111111111111,26.0,0.37620578777590696,-1.410406046733217
DEF6,7.719444444444444,3.0,0.38862900318823085,-1.363534518624354
AGBL3,2.522222222222222,1.0,0.39647577076791707,-1.3346953878944363
MS4A12,0.5,0.2,0.39999999920000007,-1.3219280941660145
SCN4A,0.6142857142857142,0.25,0.4069767435235263,-1.2969817365607965
RASAL2,14.730555555555554,6.0,0.40731661321013884,-1.2957774326459037
INPP5J,9.76388888888889,4.0,0.40967283068350435,-1.2874558742564026
ABCA9,0.23846153846153847,0.1,0.4193548369510926,-1.2537565948555216
NPR1,1.4060606060606062,0.6,0.42672413762754524,-1.2286243726931563
KAT2B,18.666666666666668,8.0,0.42857142854846936,-1.2223924180474468
ZNF680,20.666666666666668,9.0,0.4354838709466701,-1.199308804980359
MYT1L,4.493333333333334,2.0,0.44510385746770675,-1.1677860877657975
FOXD4,1.7942857142857143,0.8,0.4458598723629762,-1.1653377295149514
HDC,0.4434782608695652,0.2,0.4509803911399462,-1.148863385968599
RPUSD2,19.88888888888889,9.0,0.4525139664576948,-1.1439657712639915
PLCH1,8.82,4.0,0.45351473917760604,-1.1407786527652242
LTN1,37.22222222222222,17.0,0.4567164178981778,-1.1306294395323997
NT5DC3,19.52777777777778,9.0,0.4608819345425437,-1.1175308731314977
KPNA5,15.13888888888889,7.0,0.46238532107037456,-1.1128324931395552
TNXB,0.42857142857142855,0.2,0.4666666655777778,-1.0995356738257134
ABCA5,23.497222222222224,11.0,0.46814044211271655,-1.0949866886117934
ZNF543,12.805555555555555,6.0,0.46854663770744537,-1.0937354352994457
RNASET2,4.211111111111111,2.0,0.4749340368265328,-1.074200939146335
TG,0.20999999999999996,0.1,0.4761904739229026,-1.0703893317317144
C3orf22,0.4130434782608695,0.2,0.4842105251434904,-1.0462936527872964
GFPT2,1.8055555555555556,0.9,0.49846153818546746,-1.0044459029359276
HYDIN,0.6,0.3,0.4999999991666667,-0.9999999995191016
CRELD2,25.61111111111111,13.0,0.5075921908695518,-0.9782582180600317
GMIP,17.333333333333332,9.0,0.5192307692008137,-0.9455522132823321
ENPP4,38.083333333333336,20.0,0.5251641137717681,-0.9291597567403022
CNTN5,1.5230769230769228,0.8,0.5252525249076626,-0.9289169001390718
ASB5,0.7576923076923077,0.4,0.5279187810291428,-0.9216121004865512
SOWAHA,13.10277777777778,7.0,0.5342378630077749,-0.9044458645519512
ARHGAP32,44.72222222222222,24.0,0.5366459627209198,-0.8979574681824143
MAGEC3,0.7352941176470589,0.4,0.54399999926016,-0.8783214427218001
NFATC4,12.838888888888887,7.0,0.5452185200786935,-0.8750935235466354
NFASC,23.822222222222223,13.0,0.5457089552009731,-0.8737963734038586
DNAJC16,14.36111111111111,8.0,0.557059961276491,-0.8440954663832427
GPR155,8.95,5.0,0.558659217814675,-0.8399595850683026
CDC42BPG,28.61944444444445,16.0,0.559060467805371,-0.8389237593545513
EME2,14.166666666666666,8.0,0.5647058823130796,-0.8244284329636105
SPEG,9.661764705882353,5.5,0.5692541856336236,-0.8128550980496531
ZNF823,10.527777777777779,6.0,0.5699208442730418,-0.8111665336132649
PCDHGA12,0.3484848484848485,0.2,0.5739130418313799,-0.8010959332120426
CSH2,1.7333333333333334,1.0,0.5769230765902367,-0.7935491208642264
KIAA2026,24.11111111111111,14.0,0.5806451612662406,-0.7842713065197566
HDAC9,18.569444444444443,11.0,0.5923709797736345,-0.7554271276559764
PRKDC,253.94444444444446,151.0,0.5946182454581704,-0.7499643604160705
TEX14,3.341666666666667,2.0,0.5985037404692757,-0.7405678288676281
DNAH7,0.5,0.3,0.5999999988,-0.7369655946471046
C1S,3.322222222222222,2.0,0.6020066887820047,-0.7321485759062096
SEC24B,37.97222222222222,23.0,0.6057059253681014,-0.7233105677628875
HTT,35.861111111111114,22.0,0.6134779240727458,-0.7049166629161453
CMYA5,0.6472222222222223,0.4,0.6180257501180718,-0.6942611431066639
LHCGR,0.15999999999999998,0.1,0.6249999960937501,-0.6780719118211694
KLB,1.12,0.7,0.6249999994419642,-0.6780719040924466
CNTRL,28.75,18.0,0.6260869564999622,-0.6755650472479391
ECT2L,1.102777777777778,0.7,0.6347607047140706,-0.6557152726784621
HDAC4,11.027777777777779,7.0,0.6347607052321124,-0.6557152715010479
WRAP73,31.2,20.0,0.6410256410050953,-0.6415460268831598
EEF1A2,171.5222222222222,110.0,0.6413163179336842,-0.6408919764296419
UGGT2,16.37142857142857,10.5,0.641361256505327,-0.6407908868718742
EPHA1,3.1156249999999996,2.0,0.6419257771259617,-0.6395215977264368
KLHL11,20.194444444444443,13.0,0.6437414029942577,-0.6354468321665202
DNAJC13,40.25,26.0,0.6459627329032059,-0.6304771577759652
STXBP3,26.194444444444443,17.0,0.6489925768575147,-0.623726115814545
TRPV3,1.0739130434782609,0.7,0.6518218617412184,-0.6174503526001341
SHANK3,13.761111111111111,9.0,0.654016955947629,-0.612600053373316
CLCN3,49.888888888888886,33.0,0.6614699331715964,-0.5962525117882552
ZP2,0.15000000000000002,0.1,0.6666666622222222,-0.5849625081750808
CCNY,58.388888888888886,39.0,0.6679352997031183,-0.5822197315223936
PODNL1,0.8799999999999999,0.6,0.6818181810433885,-0.552541022552252
PDIA5,30.583333333333332,21.0,0.6866485013399461,-0.5423563272894011
ADAR,192.16666666666666,132.0,0.6869037293979867,-0.5418201754793825
NDRG3,84.27777777777777,58.0,0.6882003955093029,-0.5390993715979374
NCOR2,62.333333333333336,43.0,0.6898395721814464,-0.5356672023961788
CDO1,14.471428571428572,10.0,0.6910167817883799,-0.5332073449807162
MUC19,1.011111111111111,0.7,0.6923076916229923,-0.5305147160417284
ANO3,1.4307692307692308,1.0,0.6989247306942998,-0.5167909970237486
SEMA5B,4.281818181818182,3.0,0.7006369425115284,-0.5132610336447836
SMAD9,81.25,57.0,0.7015384615298272,-0.5114058917123583
HIVEP1,11.333333333333334,8.0,0.7058823528788927,-0.5025003386126621
NLRC5,2.8264705882352943,2.0,0.707596253651839,-0.499001683107604
CYP2A7,0.14,0.1,0.7142857091836735,-0.4854268354554333
ZNF250,14.0,10.0,0.7142857142346939,-0.4854268252535184
CCPG1,4.194444444444445,3.0,0.7152317879089514,-0.4835172354884628
LAMA1,5.591666666666666,4.0,0.7153502234190134,-0.48327835883290554
KLHL22,27.77777777777778,20.0,0.7199999999740799,-0.47393118638060644
HDLBP,157.83333333333334,114.0,0.7222808870070394,-0.4693680985942123
NAA25,34.55555555555556,25.0,0.7234726687893529,-0.46698957696119037
NBEAL2,23.47222222222222,17.0,0.7242603549987298,-0.4654196865464024
FOXP2,4.123529411764705,3.0,0.7275320968278454,-0.45891719551863563
C2orf76,16.444444444444443,12.0,0.7297297296853543,-0.4545658615761861
TRIM21,10.947222222222223,8.0,0.7307789900372798,-0.45249293596575757
FTH1,281.6111111111111,206.0,0.7315052278529953,-0.45105991799684075
LRRC72,0.13636363636363635,0.1,0.7333333279555557,-0.44745898558367325
PNRC1,31.194444444444443,23.0,0.7373107746869607,-0.43965525299082564
THADA,13.555555555555555,10.0,0.737704917978366,-0.4388842393839867
GPLD1,5.413888888888889,4.0,0.7388404308537802,-0.43666527724204796
NTNG1,6.748387096774194,5.0,0.7409177819169768,-0.43261463435195235
NSUN6,18.88888888888889,14.0,0.7411764705489965,-0.4321110107676701
